event_id,participant,event_type,verified,notes,event_ts,duration_sec,distance_px,start_x,start_y,end_x,end_y,window_start,window_end,plot_path
341,260808_BBY_W_AI,annotation,,,2026-08-08 18:55:18.735,0.314,64.8,1080.8,519.9,1145.3,512.9,2026-08-08 18:55:08.735,2026-08-08 18:55:28.735,plots\260808_BBY_W_AI\event_0341.png
342,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:28.874,3.656,172.1,1068.6,480.9,987.2,329.3,2026-08-08 18:56:18.874,2026-08-08 18:56:38.874,plots\260808_BBY_W_AI\event_0342.png
343,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:32.759,1.072,80.1,1156.2,466.2,1223.6,509.6,2026-08-08 18:56:22.759,2026-08-08 18:56:42.759,plots\260808_BBY_W_AI\event_0343.png
344,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:35.065,0.702,191.0,1094.8,538.7,907.6,576.8,2026-08-08 18:56:25.065,2026-08-08 18:56:45.065,plots\260808_BBY_W_AI\event_0344.png
345,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:35.902,0.81,209.3,928.7,564.2,1052.0,395.1,2026-08-08 18:56:25.902,2026-08-08 18:56:45.902,plots\260808_BBY_W_AI\event_0345.png
346,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:36.915,0.334,221.4,973.1,564.6,1121.3,400.1,2026-08-08 18:56:26.915,2026-08-08 18:56:46.915,plots\260808_BBY_W_AI\event_0346.png
347,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:37.388,0.21,196.3,1082.5,468.9,957.3,620.1,2026-08-08 18:56:27.388,2026-08-08 18:56:47.388,plots\260808_BBY_W_AI\event_0347.png
348,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:38.248,1.701,312.3,1002.4,580.2,761.2,778.6,2026-08-08 18:56:28.248,2026-08-08 18:56:48.248,plots\260808_BBY_W_AI\event_0348.png
349,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:40.283,1.316,311.2,786.6,751.6,485.9,831.7,2026-08-08 18:56:30.283,2026-08-08 18:56:50.283,plots\260808_BBY_W_AI\event_0349.png
350,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:41.799,0.399,443.6,1007.8,670.9,576.1,772.7,2026-08-08 18:56:31.799,2026-08-08 18:56:51.799,plots\260808_BBY_W_AI\event_0350.png
351,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:42.407,0.375,437.2,1029.2,640.6,621.5,798.6,2026-08-08 18:56:32.407,2026-08-08 18:56:52.407,plots\260808_BBY_W_AI\event_0351.png
352,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:42.992,0.39,411.2,994.1,629.3,615.1,789.0,2026-08-08 18:56:32.992,2026-08-08 18:56:52.992,plots\260808_BBY_W_AI\event_0352.png
353,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:43.710,0.305,162.1,931.5,684.6,1087.1,638.8,2026-08-08 18:56:33.710,2026-08-08 18:56:53.710,plots\260808_BBY_W_AI\event_0353.png
354,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:51.835,0.8,268.5,1045.9,496.8,1294.1,394.4,2026-08-08 18:56:41.835,2026-08-08 18:57:01.835,plots\260808_BBY_W_AI\event_0354.png
355,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:52.848,0.259,699.0,944.4,585.0,1612.9,380.7,2026-08-08 18:56:42.848,2026-08-08 18:57:02.848,plots\260808_BBY_W_AI\event_0355.png
356,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:53.431,0.179,569.2,1003.4,612.2,1552.6,463.0,2026-08-08 18:56:43.431,2026-08-08 18:57:03.431,plots\260808_BBY_W_AI\event_0356.png
357,260808_BBY_W_AI,annotation,,,2026-08-08 18:56:53.924,1.417,7.1,1193.6,556.1,1197.0,549.9,2026-08-08 18:56:43.924,2026-08-08 18:57:03.924,plots\260808_BBY_W_AI\event_0357.png
358,260808_BBY_W_AI,annotation,,,2026-08-08 18:58:47.706,0.924,102.1,1029.9,448.3,1036.9,346.5,2026-08-08 18:58:37.706,2026-08-08 18:58:57.706,plots\260808_BBY_W_AI\event_0358.png
359,260808_BBY_W_AI,annotation,,,2026-08-08 18:58:48.863,0.384,164.1,926.0,425.0,1089.0,406.0,2026-08-08 18:58:38.863,2026-08-08 18:58:58.863,plots\260808_BBY_W_AI\event_0359.png
360,260808_BBY_W_AI,annotation,,,2026-08-08 18:58:49.484,0.317,91.5,961.5,436.0,1050.7,415.7,2026-08-08 18:58:39.484,2026-08-08 18:58:59.484,plots\260808_BBY_W_AI\event_0360.png
361,260808_BBY_W_AI,annotation,,,2026-08-08 18:58:50.032,0.238,47.3,987.8,441.5,1034.4,433.5,2026-08-08 18:58:40.032,2026-08-08 18:59:00.032,plots\260808_BBY_W_AI\event_0361.png
362,260808_BBY_W_AI,annotation,,,2026-08-08 18:59:46.137,0.183,120.9,932.2,542.8,1045.2,500.0,2026-08-08 18:59:36.137,2026-08-08 18:59:56.137,plots\260808_BBY_W_AI\event_0362.png
363,260808_BBY_W_AI,annotation,,,2026-08-08 18:59:46.838,0.109,126.4,1071.1,505.6,1196.6,491.2,2026-08-08 18:59:36.838,2026-08-08 18:59:56.838,plots\260808_BBY_W_AI\event_0363.png
364,260808_BBY_W_AI,annotation,,,2026-08-08 18:59:47.194,0.178,99.4,1092.6,523.1,1191.7,514.4,2026-08-08 18:59:37.194,2026-08-08 18:59:57.194,plots\260808_BBY_W_AI\event_0364.png
365,260808_BBY_W_AI,annotation,,,2026-08-08 19:00:15.506,0.198,257.7,900.8,640.5,1141.6,548.9,2026-08-08 19:00:05.506,2026-08-08 19:00:25.506,plots\260808_BBY_W_AI\event_0365.png
366,260808_BBY_W_AI,annotation,,,2026-08-08 19:00:15.993,0.143,297.9,968.5,624.6,1265.0,595.8,2026-08-08 19:00:05.993,2026-08-08 19:00:25.993,plots\260808_BBY_W_AI\event_0366.png
367,260808_BBY_W_AI,annotation,,,2026-08-08 19:00:16.586,2.962,20.3,1153.7,614.8,1133.8,610.9,2026-08-08 19:00:06.586,2026-08-08 19:00:26.586,plots\260808_BBY_W_AI\event_0367.png
368,260808_BBY_W_AI,annotation,,,2026-08-08 19:01:15.519,0.292,69.0,1245.2,547.8,1181.8,574.8,2026-08-08 19:01:05.519,2026-08-08 19:01:25.519,plots\260808_BBY_W_AI\event_0368.png
369,260808_BBY_W_AI,annotation,,,2026-08-08 19:01:16.175,0.419,79.7,1191.8,565.3,1263.9,531.4,2026-08-08 19:01:06.175,2026-08-08 19:01:26.175,plots\260808_BBY_W_AI\event_0369.png
370,260808_BBY_W_AI,annotation,,,2026-08-08 19:01:16.862,0.166,260.2,1093.2,622.1,1347.5,567.0,2026-08-08 19:01:06.862,2026-08-08 19:01:26.862,plots\260808_BBY_W_AI\event_0370.png
371,260808_BBY_W_AI,annotation,,,2026-08-08 19:01:17.254,0.182,256.1,1109.3,615.9,1359.2,559.9,2026-08-08 19:01:07.254,2026-08-08 19:01:27.254,plots\260808_BBY_W_AI\event_0371.png
372,260808_BBY_W_AI,annotation,,,2026-08-08 19:01:17.727,0.243,136.6,1118.5,608.6,1253.3,586.5,2026-08-08 19:01:07.727,2026-08-08 19:01:27.727,plots\260808_BBY_W_AI\event_0372.png
373,260808_BBY_W_AI,annotation,,,2026-08-08 19:01:18.431,0.569,6.4,1154.0,603.7,1148.1,606.1,2026-08-08 19:01:08.431,2026-08-08 19:01:28.431,plots\260808_BBY_W_AI\event_0373.png
374,260808_BBY_W_AI,annotation,,,2026-08-08 19:03:24.024,0.374,164.7,1052.1,603.9,1206.0,545.5,2026-08-08 19:03:14.024,2026-08-08 19:03:34.024,plots\260808_BBY_W_AI\event_0374.png
375,260808_BBY_W_AI,annotation,,,2026-08-08 19:03:25.077,0.148,110.1,1055.6,608.4,1165.6,603.8,2026-08-08 19:03:15.077,2026-08-08 19:03:35.077,plots\260808_BBY_W_AI\event_0375.png
376,260808_BBY_W_AI,annotation,,,2026-08-08 19:03:25.480,0.254,29.7,1097.6,615.9,1126.9,610.8,2026-08-08 19:03:15.480,2026-08-08 19:03:35.480,plots\260808_BBY_W_AI\event_0376.png
377,260808_BBY_W_AI,annotation,,,2026-08-08 19:03:55.696,0.173,191.9,976.4,532.8,1166.7,508.5,2026-08-08 19:03:45.696,2026-08-08 19:04:05.696,plots\260808_BBY_W_AI\event_0377.png
378,260808_BBY_W_AI,annotation,,,2026-08-08 19:03:56.409,0.129,84.6,1167.0,519.9,1250.8,507.9,2026-08-08 19:03:46.409,2026-08-08 19:04:06.409,plots\260808_BBY_W_AI\event_0378.png
379,260808_BBY_W_AI,annotation,,,2026-08-08 19:03:56.802,0.155,63.1,1172.9,527.8,1235.8,522.7,2026-08-08 19:03:46.802,2026-08-08 19:04:06.802,plots\260808_BBY_W_AI\event_0379.png
380,260808_BBY_W_AI,annotation,,,2026-08-08 19:04:37.533,0.907,100.6,1140.5,582.5,1234.4,546.5,2026-08-08 19:04:27.533,2026-08-08 19:04:47.533,plots\260808_BBY_W_AI\event_0380.png
381,260808_BBY_W_AI,annotation,,,2026-08-08 19:04:38.687,0.187,223.5,1015.8,613.4,1237.6,585.8,2026-08-08 19:04:28.687,2026-08-08 19:04:48.687,plots\260808_BBY_W_AI\event_0381.png
382,260808_BBY_W_AI,annotation,,,2026-08-08 19:04:39.212,0.322,24.7,1107.1,601.2,1127.6,587.5,2026-08-08 19:04:29.212,2026-08-08 19:04:49.212,plots\260808_BBY_W_AI\event_0382.png
383,260808_BBY_W_AI,annotation,,,2026-08-08 19:04:39.745,0.291,69.1,1083.3,606.3,1152.4,606.2,2026-08-08 19:04:29.745,2026-08-08 19:04:49.745,plots\260808_BBY_W_AI\event_0383.png
384,260808_BBY_W_AI,annotation,,,2026-08-08 19:04:40.246,0.569,11.1,1134.5,606.2,1129.8,596.1,2026-08-08 19:04:30.246,2026-08-08 19:04:50.246,plots\260808_BBY_W_AI\event_0384.png
385,260808_BBY_W_AI,annotation,,,2026-08-08 19:06:41.735,1.27,22.5,959.7,511.3,976.6,526.1,2026-08-08 19:06:31.735,2026-08-08 19:06:51.735,plots\260808_BBY_W_AI\event_0385.png
386,260808_BBY_W_AI,annotation,,,2026-08-08 19:07:07.103,0.6,63.4,1266.0,517.3,1316.5,479.1,2026-08-08 19:06:57.103,2026-08-08 19:07:17.103,plots\260808_BBY_W_AI\event_0386.png
387,260808_BBY_W_AI,annotation,,,2026-08-08 19:07:08.020,0.17,160.4,1142.4,576.1,1301.6,557.3,2026-08-08 19:06:58.020,2026-08-08 19:07:18.020,plots\260808_BBY_W_AI\event_0387.png
